id_v11,id_v10,id_grd_v13,lat,lon,geo_mtd,qa_rank,val_scn,val_src,rv_mcm_v10,rv_mcm_v11,har_src,pnt_src,qc
1,1,-999,33.294167,68.633611,geocoding (Google Maps),C2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: CF,JZ,AX,JW,AM"
2,2,4715,32.321458,65.120164,geocoding (Google Maps),C2,correct,Google Maps,-999,2680,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: CF,JZ,AX,AM; val: JM,JW; GRanD-har: AM"
3,3,-999,34.5955752,69.7569891,geocoding (Google Maps),C2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: CF,JZ,AX,AM"
4,4,4700,34.484384,70.362995,geocoding (Google Maps),C2,,,-999,125.1,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: CF,JZ,AX,AM; GRanD-har: AM"
5,5,4716,31.847479,65.88125,geocoding (Google Maps),C1,,,-999,478,GRanD v1.3 and GeoDAR v1.0,original GRanD,georf: AM; GRanD-har: AM
6,6,-999,42.07080766,20.33258246,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
7,7,-999,41.20086752,19.82831207,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
8,8,-999,40.42335566,19.63953418,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
9,9,-999,41.86121244,19.68153775,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
10,10,-999,40.37964856,20.29372075,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
11,11,3962,42.25106,20.044928,geo-matching MARS,M2,,,-999,2700,GRanD v1.3 and GeoDAR v1.0,original GRanD,"georf: AM,JW; GRanD-har: AM"
12,12,-999,40.53070392,19.51239645,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
13,13,-999,40.75432307,20.68251361,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
14,14,-999,41.51354643,19.73412037,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
15,15,-999,40.47354926,20.21134823,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
16,16,-999,41.33871276,19.61710554,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
17,17,-999,40.62100163,19.60300362,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
18,18,-999,41.01572333,19.77372253,geo-matching MARS,M1,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
19,19,-999,42.16808482,20.37893531,geo-matching MARS,M2,,,-999,-999,GeoDAR v1.0 alone,GeoDAR v1.0,"georf: AM,JW"
