OID_,CitationID,CitationUR,DamAccessi,DamName,DamNameAlt,DamRiverNa,DamRiver_1,DamLocatio,DamState_P,DamLatitud,DamLongitu,DamAccurac,DamFunctio,DamOwner,NID,Batch_for,yrc,yrr,OrigCap_m3,DamH_m,DAmHft
0,Ahearn_Dahlgren_2005_Limnology and Oceanography,https://doi.org/10.4319/lo.2005.50.6.1752,1,Murphy Creek Dam,Sparrowk Dam,Murphy Creek, ,"San Joaquin County, California",CA,38.234,-121.0266,location confirmed,irrigation, ,CA_remove2,USGS Dam Removal Database,1975,2003,15000,3,10
1,Brazell_Cole_2009_Journal of the Pennsylvania Academy of Science, ,17,Williamsburg Station Dam, ,Juniata River, ,"Williamsburg, Pennsylvania",PA,40.4714,-78.208,location confirmed,hydroelectric,Penelec,PA_remove3,USGS Dam Removal Database,1922,1996,245460,5,16
2,Bulak_etal_2011_Report, ,18,Woodside Dam 1,Woodside I Dam,Twelvemile Creek, ,"Pickens County, South Carolina",SC,34.7746,-82.7794,location confirmed,hydroelectric,Woodside Plantation POA,SC_remove1,USGS Dam Removal Database,1937,2011,207220,8,26
3,Hansen_Hayes_2012_River Research and Applications,https://doi.org/10.1002/rra.1540,23,Salling Dam, ,Au Sable River, ,"Grayling, Michigan",MI,44.6637,-84.7415,location confirmed,recreation,Estate of Augsta Katona,MI00601,USGS Dam Removal Database,1914,1991,1233500,5,16
4,Catalano_etal_2007_North American Journal of Fisheries Management,https://doi.org/10.1577/M06-001.1,29,Glenville Dam,"Linen Mill Dam, McArthur Dam",Baraboo River, ,"Baraboo, WI",WI,43.4585,-89.7153,location confirmed,hydroelectric,The McArthur Family,WI00301,USGS Dam Removal Database,1898,2001,117180,3,10
5,Chaplin_etal_2005_Report,https://doi.org/10.3133/sir20055226,33,Good Hope Mill Dam, ,Conodoguinet Creek, ,"Cumberland County, Pennsylvania",PA,40.2629,-76.9791,location confirmed, ,orphaned,PA_remove4,USGS Dam Removal Database,1905,2001,64141,2,7
6,Gardner_etal_2011_River research and Applications,https://doi.org/10.1002/rra.1572,59,Mill Dam, ,Sedgeunkedunk Stream, ,"Brewer, Maine",ME,44.7347,-68.7659,location confirmed,hydroelectric,Eastern Fine Paper Inc,ME00375,USGS Dam Removal Database,1939,2009,93745,3,10
7,Hansen_Hayes_2012_River Research and Applications,https://doi.org/10.1002/rra.1540,63,Hersey Dam, ,Hersey River, ,"Hersey, Michigan",MI,43.85129764,-85.44478561,location confirmed,recreation,Village of Hersey,MI00319,USGS Dam Removal Database,1958,2007,98679,3,10
8,Hansen_Hayes_2012_River Research and Applications,https://doi.org/10.1002/rra.1540,66,Nelsonville Dam, ,Tomorrow River, ,"Nelsonville, Wisconsin",WI,44.4943,-89.3119,location confirmed,hydroelectric,WI DNR,WI00288,USGS Dam Removal Database,1901,1987,222030,4,13
9,Howard_etal_2007_Report, ,68,Carbonton Dam, ,Deep River, ,"Sanford, North Carolina",NC,35.5198,-79.3471,location confirmed,hydroelectric,Cox-Lake Carbonton Associates,NC83006,USGS Dam Removal Database,1921,2006,122110,5,16
10,Kanehl_etal_1997_North American Journal of Fisheries Management,https://doi.org/10.1577/1548-8675(1997)017<0387:CITHAF>2.3.CO;2,76,Woolen Mills Dam, ,Milwaukee River, ,"West Bend, Wisconsin",WI,43.42643468,-88.16190578,location confirmed,recreation,City of West Bend,WI00220,USGS Dam Removal Database,1919,1988,777090,4,13
11,Katopodis_etal_2006_International Journal of River Basin Management,https://doi.org/10.1080/15715124.2006.9635285,77,Sandstone Dam,Kettle River Dam,Kettle River, ,"Sandstone, Minnesota",MN,46.1077,-92.8632,location confirmed,hydroelectric,Minnesota Dept of Natural Resources,MN00513,USGS Dam Removal Database,1908,1995,370040,6,20
12,Rye_2000_Building Partnerships,https://doi.org/10.1061/40517(2000)344,78,Appleton Dam, ,Pomme de Terre River, ,"Appleton, Minnesota",MN,45.2038,-96.0194,location confirmed,hydroelectric,Village of Appleton,MN00166,USGS Dam Removal Database,1872,1999,555070,5,16
13,Lenhart_2000_Thesis,http://digital.library.wisc.edu/1793/31306,86,Fulton Dam, ,Yahara River, ,"Edgerton, Wisconsin",WI,42.81038771,-89.13038671,location confirmed,hydroelectric,Rock County,WI00183,USGS Dam Removal Database,1841,1993,431720,4,13
14,Lenhart_2000_Thesis,http://digital.library.wisc.edu/1793/31306,87,Hebron Dam, ,Bark River, ,"Fort Atkinson, Wisconsin",WI,42.9275,-88.6855,location confirmed,hydroelectric,Hebron Rod & Gun Club,WI00143,USGS Dam Removal Database,1857,1994,197360,3,10
15,Peck_Kasper_2013_Reviews in Engineering Geology,https://doi.org/10.1130/2013.4121(07),104,Munroe Falls Dam, ,Cuyahoga River, ,"Munroe Falls, Ohio",OH,41.1414,-81.4367,location confirmed,water supply,City of Munroe Falls,OH_remove2,USGS Dam Removal Database,1902,2005,196120,8,26
16,Poulos_etal_2014_Environmental Management,https://doi.org/10.1007/s00267-014-0314-y,106,Zemko Dam, ,Eightmile River,Harris Brook,"Salem, Connecticut",CT,41.4939,-72.2835,location confirmed,recreation,William Moore,CT_remove1,USGS Dam Removal Database,1968,2007,101150,2,7
17,Schmitz_etal_2009_Journal of environmental management,https://doi.org/10.1016/j.jenvman.2008.07.028,117,Pattengail Dam, ,Pattengail Creek, ,"Butte, Montana",MT,45.6754,-113.0763,location confirmed, , ,MT_remove1,USGS Dam Removal Database,1903,1927,14800000,12,39
18,Wildman_MacBroom_2005_Geomorphology,https://doi.org/10.1016/j.geomorph.2004.08.018,132,Union City Dam, ,Naugatuck River, ,"Naugatuck, Connecticut",CT,41.4948,-73.0525,location confirmed,recreation,Unknown,CT00131,USGS Dam Removal Database,1860,1999,148020,5,16
19,Bukavechas_Wood_2014_Journal of Environmental Quality,https://doi.org/10.2134/jeq2013.12.0481,26,Lake Charles Dam,VCU Rice Center Dam,Kimages Creek, ,"Charles City, Virginia",VA,37.3274,-77.2033,location confirmed,recreation,Virginia Commonwealth University,VA03602,USGS Dam Removal Database,1927,2008,442820,3,10
20,Marion_2014_Thesis,https://tigerprints.clemson.edu/all_dissertations/1288,19,Woodside Dam 2,Woodside II Dam,Twelvemile Creek, ,"Pickens County, South Carolina",SC,34.7661,-82.792,location confirmed,hydroelectric,Woodside Plantation POA,SC_remove2,USGS Dam Removal Database,1895,2011,180090,7,23
21,Stephens_2014_Report, ,135,Gold Ray Dam, ,Rogue River, ,"Central Point, OR",OR,42.4369,-122.9843,location confirmed,hydroelectric,Jackson County,OR00595,USGS Dam Removal Database,1940,2010,123350,12,39
22,Orr_Stanley_2006_River Research and Applications,https://doi.org/10.1002/rra.891,137,Afton Dam, ,Bass Creek, ,"Afton, Wisconsin",WI,42.6012,-89.067,location confirmed,recreation,Private,WI00295,USGS Dam Removal Database,1952,1996,246700,3,10
23,Orr_Stanley_2006_River Research and Applications,https://doi.org/10.1002/rra.891,143,Lemonweir Dam, ,Lemonweir River, ,"Lemonweir, Wisconsin",WI,43.7875,-90.0179,location confirmed,recreation,Town of Lemonweir,WI00265,USGS Dam Removal Database,1926,1993,98679,4,13
24,Orr_Stanley_2006_River Research and Applications,https://doi.org/10.1002/rra.891,146,Mound Pond Dam, ,Willow, ,"Hudson, Wisconsin",WI,45.02754524,-92.64846641,location confirmed,recreation,WI DNR,WI00028,USGS Dam Removal Database,1925,1997,949780,18,59
